Index;Keys;Value
0;94NA39,15TT95,48KO66,78RN58,70VM44,53HE45,42ZQ10,32YU45,49ZL63,67IT62,10LU88,15AP52,30TI53,34FG28,38TC88,32BP43,87DE88;936
1;50LV66,59FS48,71NR47,21VW85,72PG36,98DW98,63ZO47,25LI12,48CU87,39LC22,87BJ13,17NV25,35IQ25,84AE67,88KP44,16XL99,95YE16,33ZT90,51HO20;21
2;78JG73,44YY31,33DE34,54GV22,42OL18,10VM15,39YC93,77VP37,75CN30,61KS69,10PI42,71MB32,36RJ50,16CE43,86PA47,47JC17,77AN49,57LY58,29ZM11,15GG20,97VJ22,56TT56,32TG19,61ZQ84;641
3;61QB98,89GA62,17LK75,89CU48,62VW46,99LC55,77PL65,37HY46,81EI82,65DP11,15TT98,97JO84,70EL18,81EV89,28VM71,57DZ10,72ND24,96RR20,16HS72,49IC99,37CK18,36CL36,99MX62;292
4;25OY98,45WM63,88SB89,54ME52,94SB64,92BP78,98BT87,24FF60,42PT20,62GL25,54QF11,25WF71,80XV82,66SR78,57QZ81,95ID52,72YV26,89ZM44,30FS42,31HH31;555
5;25DG98,12QG71,61EB92,60AW96,15AP57,98YT21,71XB38,99PD16,76XG65,10JR79,62NP61,94CV43,63JN84,89GA64,22GK49,81AP63,38LD44,90AE46,68XQ64,70FT20,93SX28,57NO68,11LG68,44JF74,55EJ55;209
6;31ND68,13MM33,70GB28,87OJ88,62RI83,46EU73,21JW82,64JM67,47KX28,86MH92,85QW76,95CM88,30WT73,95TV55,90XJ49,14GU49,96TM99;542
7;52GX63,56RQ47,95CM89,14LV71,42PT23,83AN29,46GX88,17NI24,68ZO11,98DR35,72ND28,72ZV91,47LX91,35NR52,62RQ22,52UA71,22IA58,97IB19,52KQ84,57LL56;75
8;46ZW63,30HI53,15BX60,71YW48,42JP51,22XG12,48EF32,57PE78,48AZ18,17FO45,76TN47,58HE11,62ZC65,23RO28;234
9;34CN78,49BY63,37MZ73,25OT34,37LE66,80OO38,13ME98,85JF37,18QS22,66SE76,69UW91,47QG59,69HO83,93KQ45,42LS66,60EK52,44HC64,48CH88,64LC77,21RQ65,47GJ65,31CY70;761
10;46IA91,44JA10,84SV43,63JA82,22LT13,37FI32,95GA44,91YI97,77LF44,58JH27,74ZV55;529
11;27IA20,34ZN13,97LM37,40KH35,68EE89,85YD54,85JF39,94XP99,75TO68,94HW70,68EM27,22TF56,23UZ45,40ZS57,77NI59;264
12;39EQ53,73IT49,81BX70,99OA71,59GN52,39GT67,30MW85,12QO16,35NR57,65KT55,95NZ26,41NR32,94JZ85,85UK34,75XP28,65ZR70,98QZ48,30UQ65,23DQ79,61XA73,19IP89,85UC96,65RX90,98YT28;904
13;24EX62,87TS54,97OX53,79IX59,74TC81,78BH35,51BK59,48NU24,48PC93,70ON70,47KK28,86LZ92,33XD81,23NA67,89BZ44,31DO19,30HI58,80GH55,49FR88,57SX35,91MI92;707
14;18QK89,62HL97,25MQ25,38SH88,33VV13,75NK98,88AF56,43MZ53,61TH54,74FZ74,87KD68,66CY59,69TB89,12PY73,82SX83,80PW43,74NT54,32CK50;739
15;81CA11,35WT40,36YV36,47LK92,45MK11,51OF62,50YD74,50NG18,13ZH43,20TH96,70ON72,44KV22,34ZN17,32QA66,96PB11,98OJ30,10DI47;794
16;72MA85,67TL65,54LJ50,29HI44,95DU98,31EO84,34PI86,78KW25,80XI87,55RE67,68LD60,19NY52,93IA31,91GZ67,75PI45,45MC74,49UX44,84OP21,37SQ46,75CA37,89IJ69,29FF30,73PX88,61NY28;804
17;19AQ45,24SA74,49YQ66,92PS92,53PY35,18IL43,82LG44,47LK94,94LP97,41ZE38,33MG29,92YC17,64BA22,19RZ12,54TQ38,72GE51,99QL28,52LY94,32XM41,29BZ17,66AI41;302
18;60JT20,62RD26,56PA37,17XX84,19GH12,70BF67,73EA20,81FQ97,25MD22,44IS11,32KE34,94PD50,28BF91,59ZE94,27HX89,13VG87,65DC19,44OO46,81ZF16,30DC35;53
19;85KA40,43QS79,58VZ99,96JK49,48WW10,48DC91,33GC58,85MD54,96QO84,33TK66,15PI17,48PC99,35QP71,54JT46,54FS87,92XM74,27JA90,61TH59,84ZZ87;225
20;61FR45,60LO98,78TQ71,70KU56,71RX73,87CE25,70GG90,61AD17,46RP88,79ZT26,40TB86,50CT84,67AH26,99GG99,52VI84,14PB98,23DL18,75KZ83,48BM85,17VU72;668
21;70OV16,94DQ52,10VR82,76DH24,30SA53,48WW12,69FT19,97MU47,77CQ61,46ZJ69,61BD80,21JE21,71CM52,84NZ81,29QX36,81BK72;844
22;93PZ17,36YA98,22MT87,60PC52,54RA22,66RR13,79ZT28,41FK55,17MN25,70EQ85,48LE12,33RH55,95MW84,24CH50,66VK34,16IN84,87PM35,20JF40,93LY58;221
23;17XK82,40BS53,88JH45,59IC62,71TN83,53NV27,55QW67,46LT56,55DO59,34MX72,78VT88,39VE86,43KW48,17KC74,77KK43,73ZC13,25YV90;1
