Index;Keys;Value
0;78BZ98,10CA32,50FR92,77PY69,91LN86,84AE66,77VH97,64BS81,95CM82,87GX40,25LA73,37ZC10,87WD62,14DJ29,54EX75,91WS80,57GK28;934
1;81EV87,15XU55,43XE41,92NK14,26DN14,26GQ90,98NO23,68ML66,51AC47,79PJ27,41VQ70,14IX58,20GZ88,62XZ58,39LC22,45BK72,56CK88;952
2;71ZE49,52FP58,93RC18,52WY25,27OJ53,88AS51,93BO58,38VA35,45BK73,85FR78,61ZY22,64WU71,43NU55,68GH94,13AR90,29VY59,83OD39,42PL80;619
3;72BQ23,78VB13,92NK16,72FJ44,58JM89,71JL21,81IW48,33BO28,27XY41,10XC23,62ZC60,74OO57,97TT16,66FJ69,78JO12,73IT40,61KF63,57EH17,61EB90,27KQ33;446
4;55GM68,23NN65,66LA36,10FY57,38VA37,90PC60,24DP53,33CO91,44CB38,33SP58,44XD26,11FK32,35VD91,91FR55,69JR92,19IP81,69XP45,20XV51,12QT77,40QD63,43HQ84,93CM36,63PR56;40
5;52MT96,11JD54,51BX58,85HH88,11BR12,86YH99,64LX18,12JC36,70BS61,51DN65,13JB18,13MZ39,23TR39,75VR76,80QR48,50RE98,43VB31,38FU16,50NT15,40VR92,63PR57,29TI41,54GN87;642
6;46OR67,98BG82,73ZU72,91NL37,12FB78,64WU75,20TU94,41MJ26,14XV78,57HK96,74KA94,76CM16,80IK62,75AK20,45FL36,10NF32;782
7;98DJ97,82IA89,99WH53,27GX16,91JF10,94AK93,28EL46,77DY68,67AM82,24SN71,88ZN65,24LJ36,17PL38,11YW16,12ZV60,88PQ71,63LD93,46SF20,97ZC48,66BD45,31DO13;949
8;53OI88,30NM26,36PT49,43LR47,36DT41,23DQ75,93KQ44,78IY72,19KF92,20ER12,15RY27,64MX83,39ON43,73KJ52,57TF37,22ZJ26,16LT36;448
9;83JP11,51LH49,39UR17,61ZY29,96LN53,74GH76,24JG24,28NS97,93EZ79,85UX38,16WQ93,11ZW80,64LC77,42ZQ19,26MH64,34GG99,83RB53;25
10;33RU50,49RM24,18HD36,75GG59,30OZ97,99EQ82,75BX93,56NC84,55NL40,96TH34,14BY80;835
11;89XB99,42DY88,58IR83,61LN71,81ZK78,91MI90,89NM43,76QU91,28AS29,68YY70,37FA95,48GI49,87KD65,58HE14,30DH97,11SF40,84DK22,11OR88,99UE43,60SA69,44DJ45,85WA40;740
12;84JG58,65AW61,33KD10,50FM35,50YQ78,88CI68,43YM52,16JI88,10UJ73,43UL93,94XC93,85CT60,78HD69,65SN35,71LB37,23QY87,91BD97,60JY83,32TY84,60NZ42,68RU36,61JX65,52QH55;607
13;49BL60,59DC39,73GQ36,20RR87,73NU71,91DB43,36HM67,86XU31,56OX94,89HI72,83DY49,93IN35,15PV18,55HU77,91QW58,65RX91,82PM68,97TG19;802
14;24EX63,83QT51,48PC94,41EC47,13CC40,80NY98,84NH19,91WN25,75DV42,69DV67,77UM97,93GK22,79AQ73,31ZQ70,94HW73;321
15;86IB73,46EP13,83MS93,64WP15,95GA49,61PO34,71QC61,25KC89,73CX17,10YK35,60PP52,54GI28,17MS87,74JS96,80XQ24,13VO22,79AQ74,17MF80,38GH81,97YU49,53JU60,33HX61,95YW85,36XA29,73KJ59,49SZ98,62RD23,88LK51,49RM29;326
16;46TS98,15PA76,72KS16,14NT25,73TY47,88TE32,93PZ11,55LV39,95XJ17,37SQ46,89LB96,17YF89,30UQ69,29WT66,64ZS92,61HU55,86KM26,16SK72,65KT59,53XK76,11GS44,90YE52,44QR58;820
17;27TF20,58KH96,36YA93,14FZ46,48TD56,34FT31,83BI32,98KQ11,57GP93,39XH94,67CK37,61XI16,59SA58,72GR58,31DB16,16UV25;379
18;92EA92,40HW21,82FC72,85KN46,53RO43,50QR35,33RH51,98BB25,30ZZ30,58OI56,66ZQ58,82FP79,35JL35,35FK76,21JR25,65MJ68,39VZ26,89LJ36,14UX62,20GH29,84QS37,38TX30,37KJ61,38TP92;539
19;13VO26,60XB98,62YH62,50SH43,78IT14,89BM43,79EJ99,61FR44,28NA31,72PT40,19PO62,41BJ93,29OU20,55FE62,97SL11,96MV63;869
20;34YK70,39VM21,20AD58,89OU52,56BC86,50QE30,14NT29,22WD72,34HJ41,54FS88,95LJ13,89UQ87,10MK32,89QX66,82SK82,86CF43,54FF81,88BN62,24GV14,10UR19,99ED85,44UF14,36KX88;620
21;62OX77,38EZ18,91ZY46,21FD62,99IE45,20DW11,86AC30,50QR38,36LA27,50MD72,33HX67,67PF42,37UG58,49WN56,72AV27;816
22;69SO21,55GZ72,76YJ13,74TK28,57EM84,97IG82,24ME44,70RY93,51SG28,26JW56,69QY14,17YA26,83KX24,12XF54,14YQ87,82QU77,22WL12,58GB73,45PN94,19RM10,78QF59,27TF25,42YI11;172
23;66UU90,15UW49,86JJ81,60AE38,73JO53,44TX10,25NY34,67FV57,91RR61,67NP37,43UG35,18EF21,74RH15,84CP20,84GV48,66XN49,76MO75,98CJ30,22LG19,81FD95;520
24;70GG94,53LK76,22WL14,96BD67,70GO32,57OE11,12TE97,96DB12,73FV33,56GY56,10QD57,33FU56,64GB50,90ME52,40WU42,32PF61,93VI47;531
25;18VG52,39JZ25,26DS86,61OL92,88EY81,94NA43,27JI34,29ZZ20,21BK45,44VS88,48DK35,90RS81,76YJ16,81FD97,87BW23,30KO15,11CM25,39VM26,19VF34,12SW91;358
26;62WE55,34ON82,21EV60,24VL97,11XO14,64KC11,21KZ33,47WX35,59LW25,47RB69,86SY71,86HT77,34WH62,41YJ33,78VO22,70EY27,11ZE21,23ZN74,83CQ41,74BG51,69EY10,84OC24,98KD13,76PZ92,52DZ54;800
27;98VA70,49OG75,41SF61,62DA13,23PQ81,51VE40,67DS47,85PW14,66FJ72,20DW17,24EK69,93HK97,32ZC58,19TC22,24VL98,25LN86,35KT44,13WO96;722
28;71AJ45,96KS58,30XO88,15YC68,97QA68,71KG39,14WI10,32DS64,66FR11,31VK56,10ZS48,64XC83,61DO39,61MV88,35II93,30AR24,68IS51,98CB97,49ER20,76EH93,49ZY77,39WM91;737
29;29IQ57,22KY18,59XJ29,12PG12,81SG40,52TF79,17LK80,42IH51,92PF97,31VK57,65FX99,15GT33,45FY45,86TO19,27QU11,58XK47,34OT72,57VI51,67WR23,37QA38,87DE96,94FG67,42UH59,11JQ64,58ZA54,51GG27,30TI61;874
30;47UM87,88CV72,58PD61,56EV48,97JO90,36KS29,11TA52,69QL15,74UK98,91JX88,48KO75,94DD54,38FM82,56AU89,60WO33,15UJ49,96GM32,92LM77;339
31;14KV12,24JL94,33YT37,89GV14,85FZ24,84PC91,29MR18,49ER23,42ZI82,72JK10,96GE95,64AF22,72WX87,51DN70,38TC98,59QX51,10AK35,92PF99,29IQ59,72JP79,41GS64,32BP53,33NB36,37VB61;268
32;79NG23,83VP21,62GL32,47WC96,21ST19,43EF77,88EY88,86WR98,47FB67,27TX90,16CR59,41UQ18,51HO30,16II25,31BQ72,85UX40,45WZ77,18FF92,19OT61,56JW71,80YL34,60YE42,75SG68,16IA87,58AF48,46OR72,45LP14,53IZ63,88OQ13,19JF33;343
33;98YL90,37DX96,18PC87,49LV60,30NZ37,37PK97,69TW32,22KD77,94IZ23,27YG57,41II73,98NG96,21QI68,88XX63,18HQ45,13KW32,98JV13,83CD41,32BP55;735
34;90CH68,17NV37,17PL44,95MR27,36FW60,74OO67,68OJ23,79YD81,70IE49,96GM36,55IC84,54GN95,99JM58,50RM44,98YY98,23ZI13,22EH43,80SH63,29GA41,53HE58,47UU29,52JQ28,42EO35;530
35;83NV44,64YK90,14ML23,45FL44,99BS79,80QE50,49LV62,64DQ40,25SM60,77FW20,73OP86,28BA39,63VI32,40ZS60,79JF67,90RF84,97AH46,89HV80,80IX77,84RA40,64HW68,97RI75,92MU82;498
36;64JU14,96AI65,51NK69,48NZ95,31FR35,95VY78,40SG88,37ZC25,31DO21,66SM20,21VJ92,88ZV11,50XQ19,93YG66,57LL64;153
37;57NJ10,74ER76,12ET81,47ET65,40EY12,71YW56,65WT67,81SG48,54ES22,53QT48,11WT11,59DP49,78WO95,45DA94,28KC21,78UY88,61AV89,40SG89,35EX19;701
38;22XT28,88KC53,87QH44,41LT92,86QI62,96FW95,48KJ14,26EV30,14RZ54,16RK11,95ME24,13ZU52,47UH26,18UY58,24FF73,91LI34,79BG21,41IQ16;160
